companyName,description,description_word_count
LPKF Laser & Electronics AG,"LPKF Laser & Electronics AG, together with its subsidiaries, designs and manufactures laser-based solutions for the technology industry in Germany, rest of Europe, the United States, rest of North America, China, Malaysia, Vietnam, rest of Asia, and internationally. The company operates through four segments: Development, Electronics, Welding, and Solar. The Development segment offers circuit board plotters and ProtoLasers primarily for development departments of industrial companies, as well as public organizations, such as research institutes, universities, and schools. The Electronics segment provides production systems for cutting print stencils, rigid and flexible circuit boards, ultra-thin glass, and the etching of plastic circuit carriers, as well as the sale of components manufactured with laser systems. The Welding segment offers systems for laser beam welding of plastic components. The Solar segment develops and produces laser scribers for the etching of thin-film solar cells and laser systems for the digital printing of functional pastes and inks, which are used in production. Its products are used in the electronics, automotive supply, solar, and semiconductor industries, as well as medical technology, research institutions, and universities. The company was founded in 1976 and is headquartered in Garbsen, Germany.",190
NorCom Information Technology GmbH & Co. KGaA,"NorCom Information Technology GmbH & Co. KGaA develops and implements big data solutions in Germany and internationally. The company offers DaSense, an AI-supported data management platform that combines data management with data analysis. It serves the public sector, media, and industrial companies. The company was founded in 1989 and is based in Munich, Germany.",54
HOCHTIEF Aktiengesellschaft,"HOCHTIEF Aktiengesellschaft engages in the construction business worldwide. The company operates through HOCHTIEF Americas, HOCHTIEF Asia Pacific, HOCHTIEF Europe, and Abertis Investment divisions. The HOCHTIEF Americas division provides building and transportation infrastructure construction services primarily in the United States and Canada. The HOCHTIEF Asia Pacific division offers infrastructure construction, resource and mineral processing services, engineering and technical services, and maintenance services in the Asia-Pacific region. This division also undertakes public-private partnerships (PPP). The HOCHTIEF Europe division provides services primarily for infrastructure and building construction projects, as well as PPP in transportation, energy, social, and urban infrastructure. It also offers engineering services, including virtual construction, and facility management; and designs, develops, builds, operates, and manages real estate and infrastructure. The Abertis Investment segment operates toll roads in France, Spain, North America, Brazil, Chile, and Mexico. The company also provides insurance products; and reinsurance products primarily for contractors' casualty and surety, subcontractor default, liability, and occupational accident insurance. HOCHTIEF Aktiengesellschaft was founded in 1873 and is headquartered in Essen, Germany. HOCHTIEF Aktiengesellschaft operates as a subsidiary of ACS, Actividades de Construcción y Servicios, S.A.",182
Hamburger Hafen und Logistik Aktiengesellschaft,"Hamburger Hafen und Logistik Aktiengesellschaft operates as a port and transport logistics company in Germany, rest of European Union, and internationally. It operates through four segments: Container, Intermodal, Logistics, and Real Estate. The company operates three container terminals in Hamburg; and container terminals in Odessa, Ukraine, and Tallinn, Estonia, as well as in Trieste, Italy. It also offers intermodal services that connect ports on the North and Baltic seas, and between the Northern Adriatic and its hinterland, as well as inland terminals. In addition, the company provides specialist handling, digital, and consulting and management services; and process automation, additive manufacturing, and airborne logistics services, as well as develops, rents, and manages real estate properties. The company was formerly known as Hamburger Hafen- und Lagerhaus-AG and changed its name to Hamburger Hafen und Logistik Aktiengesellschaft in 2005. The company was founded in 1885 and is headquartered in Hamburg, Germany. Hamburger Hafen und Logistik Aktiengesellschaft is a subsidiary of HGV Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH.",165
BayWa Aktiengesellschaft,"BayWa Aktiengesellschaft provides wholesale, retail, logistics, and support and consultancy services in Germany and internationally. The company's Renewable Energies segment plans, manages, and constructs wind farms and solar park. It is also involved in the power production activities. Its Energy segment supplies heating oil, fuels, and lubricants, as well as wood pellets and heating solutions. This segment also offers solutions in electromobility, liquified natural gas, and digital mobility fields. The company's Cefetra Group segment trades in grains and oilseeds, starch products, rice and legumes, and organic products. Its Global Produce segment sells dessert pome fruits for wholesalers and retailers in the food industry; and supplies organic pome fruits. It also collects, sorts, stores, packages, and provides services for fruit customers. The company's Agri Trade & Service segment collects, sells, and services value chain stages for farms, as well as supplies seeds, fertilizers, crop protection products, and feedstuffs to farmers. Its Agricultural Equipment segment offers machinery, equipment, and systems for agriculture areas. It offers tractors, combine harvesters, versatile municipal vehicles, road sweeping vehicles, and mobile systems, as well as forklift trucks; wood splitting and chipping machinery, forest milling cutters and mulchers, cable winches, and road and path construction machinery; chainsaws and brush cutters; and maintenance and repair services for machinery and equipment. The company's Building Materials segment trades in building materials for construction companies, tradesmen, commercial enterprises, and municipalities, as well as private developers and homeowners. Its Innovation & Digitalisation segment develops and markets NEXT Farming OFFICE and NEXT Farming LIVE software solutions; and offers analysis and advisory services, as well as hardware components. The company was founded in 1923 and is headquartered in Munich, Germany.",275
Dr. Hönle AG,"Dr. Hönle AG supplies industrial UV technologies and systems in Germany and internationally. The company operates through three segments: Adhesives, Equipment & Systems, and Glass & Lamps. The Adhesives segment provides industrial adhesives for applications, such as consumer electronics, medical technology, optics and opto electronics, automotive, and glass processing. The Equipment & Systems segment engages in the drying of inks and coatings, curing of adhesives and plastics, disinfecting surfaces, and solar simulation. The Glass & Lamps segment offers quartz glass tubing and rods for the lamp, automotive, semiconductor, and fibre cable industries, as well as lamps for water disinfection, and the drying of coatings and adhesives. The company was founded in 1976 and is headquartered in Munich, Germany.",118
KSB SE & Co. KGaA,"KSB SE & Co. KGaA, together with its subsidiaries, manufactures and sells pumps, valves, and related systems worldwide. It operates in three segments: Pumps, Valves, and KSB SupremeServ. The Pumps segment offers single and multistage pumps, submersible pumps, and associated control and drive systems that have applications in energy and mining, water, building services, petrochemicals/ chemicals, and general industry. The Valves segment provides butterfly, globe, gate, control, diaphragm, and ball valves, as well as associated actuators and control systems, which are used in process engineering, building services, energy, and solids transport applications. The KSB SupremeServ segment is involved in the installation, commissioning, start-up, inspection, servicing, maintenance, and repair of pumps, valves, and related systems for various applications; and modular service concepts and system analyses for complete systems. It sells its products through its companies or agencies. The company was formerly known as KSB Aktiengesellschaft and changed its name to KSB SE & Co. KGaA in January 2018. KSB SE & Co. KGaA was founded in 1871 and is headquartered in Frankenthal, Germany.",172
SFC Energy AG,"SFC Energy AG develops, produces, and distributes systems and solutions for stationary and mobile off-grid power supply based on hydrogen and direct methanol fuel cells worldwide. The company operates in two segments, Clean Energy and Clean Power Management. It offers EFOY Hydrogen 2.5 fuel cells for higher power ranges; EFOY Pro fuel cells for on-board power supply in vehicles, as well as off-grid power supply, such as monitoring systems, measuring stations, and oil and gas applications; EFOY fuel cells, which ensures automatic recharge of the batteries; SFC EMILY for military and security applications; SFC JENNY, a portable fuel cell for military applications; and SFC Power Manager 3G, a portable power distributor and battery charger that enables the soldiers to use various energy sources available in the field, such as hybrid batteries, solar panels, and vehicle power and fuel cells to power devices or charge batteries. The company also provides EFOY ProCube, a mobile and maintenance-free solution for off-grid power supplies; EFOY ProEnergyBox, an off-grid energy solution for weather conditions; EFOY ProEnergyCase, a portable and maintenance-free solution for grid-independent power supplies; EFOY ProCabinet, an insulated outdoor energy solution for remote off-grid power supply; EFOY ProTrailer, a trailer-based energy solution; drives and motor solutions; SCADA and telemetry solutions; and coils and linear drives. In addition, it offers accessories and spare parts, such as fuel cartridges; and mechanical, electronic, and electrical instruments to monitor and control production and logistics processes. The company was formerly known as SFC Smart Fuel Cell AG and changed its name to SFC Energy AG in July 2010. SFC Energy AG was founded in 2000 and is headquartered in Brunnthal, Germany.",272
KAP AG,"KAP AG, through its subsidiaries, provides flexible films in Germany, rest of Europe, North/South America, Asia, and internationally. It operates through four segments: Flexible Films, Engineered Products, Surface Technologies, and Precision Components. The Flexible Films segment develops, produces, and sells flexible films and composite materials for various applications, such as solutions for energy efficient construction, semi-finished products for water management and medical application, tarpaulin fabrics and composite material for greenhouses construction, projection screens, and membranes for swimming pool construction. The Engineered Products segment develops, produces, and sells technical textiles that are used in power transmission belts in automotive and agricultural sector, air springs in the field of road and rail transport, and reinforcement for flexible feed pipes for the oil and gas industry, as well as for reinforcing supports in rubber products, which include conveyor belts and brake diaphragms, and carrier materials for coated end products. The Surface Technologies segment provides surface coating solution for the furniture, food, mechanical engineering, electrical, and automotive sectors. The Precision Components segment develops, produces, and sells complex plastic and plastic-metal compound parts comprising plastic gears, gears with plastic coated metal shafts, and related metal products used in special electronic or electro-mechanical drives. The company was formerly known as KAP Beteiligungs-AG and changed its name to KAP AG in July 2018. KAP AG is headquartered in Fulda, Germany.",223
TAKKT AG,"TAKKT AG operates as a B2B direct marketing company for business equipment in Germany, the rest of Europe, and the United States. The company operates in three segments: Industrial & Packaging, Office Furniture & Displays, and FoodService. The Industrial & Packaging segment offers pallet lifting trucks, universal cabinets, and swivel chairs, as well as special-purpose products, such as environmental cabinets and containers for hazardous materials under the KAISER+KRAFT brand; and office and business equipment to smaller corporate customers under the Certeo and Büromöbelonline brands. The Office Furniture & Displays segment provides office equipment, including office chairs and desks, conference tables and furniture for reception areas under the National Business Furniture (NBF) and OfficeFurniture.com brands; and advertising banners, digital display stands, mobile trade booths, and fixtures under the Displays2Go's and Mydisplays brands. The Foodservice segment offers meal and food preparation and presentation products, such as pots, pans, ice machines, and deep fryers for hotels, restaurants, and catering. This segment also provides buffet equipment, including serving platters and food baskets under the Hubert brand; and various equipment and supplies required for the operation of small to mid-sized restaurants comprising kitchen stoves and freezers under the Central brand. It offers its products through catalogs, webshops, and telephone sales. The company was founded in 1945 and is based in Stuttgart, Germany. TAKKT AG is a subsidiary of Franz Haniel & Cie. GmbH.",228
BAUER Aktiengesellschaft,"BAUER Aktiengesellschaft, together with its subsidiaries, provides services, equipment, and products related to ground and groundwater in Germany and internationally. It operates through three segments: Construction, Equipment, and Resources. The Construction segment engages in the foundation engineering activities. This segment also offers services for excavation pits, as well as foundations for infrastructure projects and buildings, cut-off walls, and ground improvement. The Equipment segment provides equipment for exploration, mining, and exploitation of natural resources. This segment also designs and builds heavy-duty drilling rigs, trench cutters, grab systems, vibrators, and deep drilling rigs, as well as related tools. The Resources segment provides products and services for drilling services and water wells, environmental services, constructed wetlands, and mining and remediation. BAUER Aktiengesellschaft was founded in 1790 and is headquartered in Schrobenhausen, Germany.",129
Sto SE & Co. KGaA,"Sto SE & Co. KGaA engages in the manufacture and sale of products and systems for building coatings in Europe, the United States, the Asia Pacific, and internationally. It offers facade systems, including external wall insulation and rainscreen cladding facade systems; facade coatings, such as render and paint systems; and interior products comprising plaster and paint systems for home and office interiors, decorative coatings, and interior claddings, as well as interior products for surface decoration that include paints, patterns, materials, and textures. The company also provides acoustic systems, which comprise acoustic board systems, acoustic sails, and acoustic plaster finishes that allow various textures, shapes, and colors; floor coatings for industrial facilities, trade and public facilities, parking decks, cleanrooms, and balconies; and concrete restoration products. In addition, it offers insulants, carrier boards for acoustic systems, rainscreen cladding systems, architectural elements, brick surfaces, outdoor ceramics, interior tiles, paints and lacquers, and glass granulates. Further, the company provides integrated solutions for façade insulation, interiors, acoustics, floor coatings, and concrete restoration. It serves professional applicators, such as painters, plasterers, and building contractors, as well as architects, planning offices, and real estate industry through direct and multi-stage distribution systems. The company was formerly known as Sto AG and changed its name to Sto SE & Co. KGaA in March 2014. The company is headquartered in Stühlingen, Germany. Sto SE & Co. KGaA is a subsidiary of Stotmeister Beteiligungs GmbH.",234
ABO Wind AG,"ABO Wind AG develops renewable energy projects in Germany, Finland, France, Spain, Argentina, Greece, Ireland, Poland, Tunisia, Hungary, the United Kingdom, the Netherlands, Colombia, Canada, South Africa, and Tanzania. It develops wind farm projects, as well as undertakes engineering, procurement, and construction (EPC) works for its projects and third parties. The company also provides power plant management services, such as commercial management, technical management and assessment, and maintenance and service, as well as replaces and repairs components. In addition, it engages in the project development, EPC, and operational management of solar projects. Further, the company provides operational management services for biogas plants; develops biogas plants; purchases and optimizes existing biogas plants; and offers bioenergy services. Additionally, it provides solutions for the storage of renewable energies; and ABO Lock, a digital access control locking system, as well as designs, constructs, and operates hybrid energy systems with renewables for infrastructure, mines, commercial and industrial, remote communities, tourism and hotels, and island and isolated power grid sectors. The company connects wind energy, solar energy, and storage facilities with an output of approximately 1,900 megawatts to the grid. ABO Wind AG was founded in 1996 and is headquartered in Wiesbaden, Germany.",197
technotrans SE,"technotrans SE operates as a technology and services company worldwide. It operates in Technology and Services segments. The company develops, manufactures, and sells plants and systems for industrial applications in the areas of cooling and temperature control, filtering and separating, and pumping and spraying liquids, as well as solutions for applications in the laser and machine tools area. It offers products for plastics, electric mobility, high power charging stations, data centers, healthcare and analytics, and print sectors. The company also provides after-sales service, installation, commissioning, maintenance, repair, and spare parts supply, as well as engages in the creation of technical documentation and production and distribution of documentation creation software. technotrans SE was founded in 1970 and is headquartered in Sassenberg, Germany.",121
Gesco AG,"Gesco AG operates in the process, resource, healthcare, and infrastructure technology sectors in Germany and internationally. It develops, produces, and markets plastic spools and injection-molded technical parts. The company also provides special steels, steel foundry, casting, and coating and hardening products. In addition, it turns parts made of brass, aluminum, red brass, and Cuphin in diameters of 6 to 140 mm; and offers galvanic surface finishing, assembly installation, thermal material treatment, soldering, welding, and compression services. Further, it manufactures machine cladding and frames, covers, housings, and containers from high-end stainless-steel sheets; milling machines for linear tooth profiles, and clamping systems; straightening machines and wheel presses for rolling stock; and processing equipment for pharmaceutical, food, water technology, and chemical industries, as well as processes strip steel. Additionally, it offers suspension systems and control box technology for use in medical and automation technology, mechanical engineering, and plant construction; paper sticks for confectionery and hygiene industries; and safety equipment for loading and unloading liquid and gaseous materials on and off ships and tankers. The company was founded in 1989 and is headquartered in Wuppertal, Germany.",182
va-Q-tec AG,"va-Q-tec AG develops, produces, and markets vacuum insulation panels and phase change materials in Germany, rest of European Union, and internationally. It also manufactures and distributes thermal packaging solutions and thermal energy storage components. The company supplies temperature controlled supply chain systems for healthcare and logistics companies; insulation of refrigeration/freezing equipment and food containers to appliance and food companies; insulating water boilers, pipelines, laboratory equipment, and ultra-low temperature refrigeration units for technics and industry; building insulation solutions for facades, roofs, and floors; and insulation in refrigeration trucks, cars, trains, and aircraft. It also offers container rental and thermal consulting services. va-Q-tec AG was founded in 2001 and is headquartered in Würzburg, Germany.",112
INDUS Holding AG,"INDUS Holding AG is a private equity firm specializing in mergers and acquisitions and corporate spin-offs. The firm does not invest in retail and service companies, pure trading or consumer goods businesses, companies with significant dependencies on individual business partners, start-ups, turnarounds, mature businesses, and companies undergoing restructuring. The firm typically invests in middle market and mature companies. It primarily makes long-term investments in medium-sized manufacturing companies in energy and environmental technology; infrastructure and logistics technology, intelligent logistic infrastructure; automation, measurement and control technology; medical engineering; life science; construction and safety technology; industry; digitalization; green tech; medical equipment for the ageing society; innovative construction technology; and public and private security sectors. The firm acquires small and medium-sized companies based in Germany, Switzerland, Austria, and the German-speaking regions of Europe. It typically invests in companies with annual sales between 20 million ($22.05 million) and 100 million ($110.28 million), EBIT between 2 million ($2.66 million) and 10 million ($13.28 million), equity ratio above 30 percent, and a double digit operating margin. It prefers to invest in companies with low level/no liabilities to banks. The firm seeks to take a majority stake in its portfolio companies initially and building it up to 100 percent. It prefers to acquire mainly owner-managed companies. It also seeks second-level acquisition opportunities. The firm invests through its balance sheet. INDUS Holding AG was founded in 1989 and is based in Bergisch Gladbach, Germany.",235
Ernst Russ AG,"Ernst Russ AG is a publicly owned investment manager. It invest in shipping, alternative investments, real estate, private equity and renewable energy. Within ship participation, the firm invests in part-owning ships and funds for ship participation and dormant investments with conversion options. In property investment funds, it seeks to invest in closed ended property investment funds. Within private equity the firm seeks to invest in private equity and venture capital funds. It also invests in real estate investments. Ernst Russ AG formerly known as HCI Capital AG. Ernst Russ AG was founded in 1985 and is based in Hamburg, Germany.",100
JOST Werke AG,"JOST Werke AG manufactures and supplies safety-critical systems for the commercial vehicle industry. The company offers truck and trailer components, including sensor systems and lubrication systems, fifth wheel couplings and mounting plates, dual-height fifth wheel systems, sliders, kingpins, ball bearing turntables and slewing rings, landing gears, and hubodometers and axle caps; container equipment, such as components for intermodal transports, twist locks, bolsters, lifting frames for swap bodies, airbag lifting devices, and spare wheel holders; and axle systems and its spare parts. It also provides products for commercial vehicles comprising towing hitches, shunting couplings, traverses, varioblocs, adapter hitches, towing balls and eyes, wear gauges/tools, screw sets, and upgrade and repair kits; products for agriculture and forestry applications, including towing and ball hitches, drawbars, piton fixes, ladders, calotte and towing eyes, and accessories. In addition, the company drawbars, height adjustment systems, towbar pipes, and spare parts and accessories; and cylinder technologies, safety equipment, and hydraulic kit solutions. It markets its products under the JOST, ROCKINGER, TRIDEC, Quicke, and Edbro brand names in Europe, North America, Asia, Pacific, and Africa. The company was formerly known as Cintinori Holding GmbH and changed its name to JOST Werke AG in July 2017. The company was founded in 2008 and is headquartered in Neu-Isenburg, Germany.",209
Knorr-Bremse Aktiengesellschaft,"Knorr-Bremse Aktiengesellschaft develops, produces, markets, and services braking and other systems for rail and commercial vehicles worldwide. The company operates in two segments, Rail Vehicle Systems and Commercial Vehicle Systems. It offers braking, entrance and HVAC systems; power electrics and control technology; digital solutions for optimization of rail traffic, couplers; signal systems; stationary and mobile testing equipment; wiper and wash systems; and sanitary systems for mass transit and long distance rail vehicles. The company also provides braking systems comprising brake control systems, disk brakes, drum brakes, brake cylinders, valves and pedal units; steering systems and vehicle dynamics solutions; driver assistance systems; automated driving and electronic leveling control; energy supply and distribution systems, including compressors and air treatment products; and engine components and transmission control systems for trucks, buses, trailers, and agricultural machinery. In addition, it offers leasing, holding, logistics, and media and IT services. The company was founded in 1905 and is headquartered in Munich, Germany. Knorr-Bremse Aktiengesellschaft is a subsidiary of KB Holding GmbH.",165
Singulus Technologies AG,"Singulus Technologies AG, together with its subsidiaries, develops, builds, and sells machinery in the areas of vacuum deposition, surface engineering, wet chemical, and thermal processing technologies worldwide. The company operates through three segments: Solar, Life Science, and Semiconductor. The Solar segment develops production solutions to manufacture solar cell concepts, including heterojunction, interdigitated back contact, and tunnel oxide passivated contacts for crystalline and thin-film solar cells. The Life Science segment offers product solutions for medical technology, decorative coating, and data storage; and develops an integrated product line DECOLINE II, inline vacuum cathode sputtering machine POLYCOATER, and MEDLINE for application in medical technologies. This segment also provides data storage machines for the production of optical disc formats comprising of CD, DVD, dual layer Blu-ray, and Ultra HD Blu-ray discs. The Semiconductor segment supplies special purpose machines and machine platforms, such as TIMARIS and ROTARIS for use in magneto resistive random access memory, sensors, power controllers, and microelectromechanical systems. Singulus Technologies AG was founded in 1995 and is headquartered in Kahl am Main, Germany.",171
Stemmer Imaging AG,"Stemmer Imaging AG provides machine vision technology for industry and non-industry applications worldwide. The company offers machine vision systems, such as 2D and 3D smart vision, application specific, hyperspectral, surface inspection, open architecture vision, and sequence recording systems; illumination products, including LED illumination products, diode lasers, cold light sources and high-frequency illumination products, and accessories for illumination; and optics consisting of zoom, fixed focus, telecentric measuring, macro and modular, motorized, line scan camera, infrared, UV, 3D, 360 degree, and multimagnification lenses, as well as accessories for lenses. It also provides area and line scan, 3D, smart, high speed recording, and spectral cameras, as well as contact image sensors and ID readers, and accessories for cameras; and CameraLink, GigE, CoaXPress, USB, FireWire, fibre optic, and analogue cables. In addition, the company offers CameraLink, CameraLink HS-Link, CoaXPress, GigE, DVI, LVDS, analogue, and FireWire input products, as well as accessories for image acquisition; IP streaming and video decoders/encoders; computers, such as industrial, compact, and embedded PC systems; and various machine vision software products. Further, it provides feasibility testing, training, sale or returns and loans, repairs, and custom cables services. The company serves the automotive, defense, security and aerospace, electronics, semiconductor and solar, factory automation, food and beverage, medical imaging, pharmaceutical, print and packaging, scientific research, sports, entertainment and broadcast, test and measurement, traffic, and rail and transport markets. Stemmer Imaging AG was founded in 1987 and is headquartered in Puchheim, Germany. Stemmer Imaging AG is a subsidiary of Primepulse SE.",247
Ringmetall SE,"Ringmetall SE develops, produces, and markets packaging solutions for industrial drums in Germany and internationally. The company operates through two segments, Industrial Packaging and Industrial Handling. It develops and produces drum locking systems and clamping rings; inliners for industrial drums and pails; individual system components, such as covers, seals, locking divisions, handles, and various special parts; and round bottom inliners, drum liners, IBC liners, container liners, dust caps, form lids, and bag-in-box-components. The company also offers special vehicle components for industrial trucks, tractors, and agricultural vehicles, including restraint systems and lifting mast parts for forklift trucks, special brake and clutch pedals, and complex welding assemblies, as well as specialized trailer coupling systems and brackets for hydraulic components for use in forestry and agriculture. It serves automotive, food and beverage, chemical, petrochemical, pharmaceutical, oil and gas, building and construction, and logistics industries. The company was incorporated in 1997 and is headquartered in Munich, Germany.",153
Einhell Germany AG,"Einhell Germany AG, together with its subsidiaries, develops and distributes solutions for Do-It-Yourself enthusiasts and hobby gardeners for use at home, garden and leisure activities, air-conditioning, and heating products in Europe and internationally. It offers power tools, stationary machines, car tools, cleaning devices, and heaters; lawn movers, scarifiers, trimmers/scythes, hedge trimmers, water pumps, and garden tools; and petrol powered and electronic tools, electric tool accessories, and metal and plastic products, as well as related accessories. The company was founded in 1964 and is headquartered in Landau an der Isar, Germany. Einhell Germany AG is a subsidiary of Thannhuber AG.",99
MBB SE,"MBB SE, together with its subsidiaries, engages in the acquisition and management of medium-sized industrial companies primarily in the technology and engineering sectors in Germany and internationally. It operates through Technological Applications, Consumer Goods, and Service & Infrastructure segments. The Technological Applications segment manufactures specialty machinery and automated production lines with a focus on e-mobility for automotive manufacturers; and develops and manufactures ecological materials and system solutions primarily based on hardwood for automotive and rail sectors. This segment also provides polyurethane and epoxy resin-based materials for tooling applications for supplies dealers, model makers, car manufacturers, foundries, and other companies in various industries. The Consumer Goods segment produces and sells tissue mother rolls, napkins, handkerchiefs, toilet paper, and kitchen rolls under the aha brand name, as well as white and colored tissue paper for various private labels; and manufactures mattresses and other flexible polyether foam products. The Service & Infrastructure segment provides IT security and cloud services; and operates in the field of pipeline and plant engineering for gas, power grids, and hydrogen applications. MBB SE was founded in 1995 and is headquartered in Berlin, Germany.",185
LEONI AG,"LEONI AG, together with its subsidiaries, provides products, solutions, and services for energy and data management in the automotive sector and other industries worldwide. It operates in two divisions, Wiring Systems, and Wire & Cable Solutions. The Wiring Systems division provides complete wiring systems and customized cable harnesses for the motor vehicle industry. Its products and services comprise cable harnesses through to integrated wiring systems, high-voltage wiring systems for hybrid and electric vehicles, energy distribution components, and special connectors, as well as related services. The Wire & Cable Solutions division manufactures and sells wire and cable systems; and provides energy transmission and data management system solutions. This segment offers a range of products and services, such as wires, strands, optical fibers, standardized cables, special cables, and fully assembled systems, as well as related services for customers in the automotive, capital goods, medical technology, telecommunications, energy, and infrastructure industries. The company was formerly known as Leonische Drahtwerke AG and changed its name to LEONI AG in 1999. The company was founded in 1569 and is headquartered in Nuremberg, Germany.",178
Aumann AG,"Aumann AG manufactures and sells specialized machines and production lines for components of electric and classic drive chain systems in the United States, Canada, Mexico, Europe, China, and internationally. It operates through E-Mobility and Classic segments. The E-Mobility segment manufactures and sells specialized machines and automated production lines for the automotive industry; e-traction engines, power-on-demand units, and electronic components; and energy storage and conversion systems, such as batteries and fuel cells. The Classic segment provides specialized machinery and automated production lines for the automotive, consumer electronics, appliances, and other industries. Its solutions include systems to produce drive components, including built camshafts, camshaft modules, and cylinder deactivation modules; and lightweight components that reduce CO2 emissions from combustion engine vehicles. This segment also offers automated manufacturing and assembly solutions. The company was founded in 1936 and is headquartered in Beelen, Germany.",139
Francotyp-Postalia Holding AG,"Francotyp-Postalia Holding AG provides business mail and digital solutions for businesses and authorities in Germany and internationally. The company develops, manufactures, rents, and sells franking systems. It also sells consumables, such as tapes or ink cartridges; and provides software solutions for cost center management, as well as teleporto services. In addition, the company engages in collecting post and sorting them by postcode, as well as delivering in batches to a regional office of Deutsche Post or an alternative postal distributor. Further, it offers hybrid mail services and solutions for digital communication; solutions for incoming mail processing; and digital communication services comprising products signature software, such as FP Sign, a cloud-based electronic solution for the legally binding digital signing and exchange of contracts and documents, as well as TransACTmail, an online letter service; Vision 360, a software that gives franking machine customers a 360-degree view of their postage costs; De-Mail that enables public authorities to exchange documents electronically; FP Parcel Shipping, which allows customers to select the shipping service provider for their parcels; Neomonitor; back office and front office automation solutions; and Internet of Things solutions. Francotyp-Postalia Holding AG was founded in 1923 and is headquartered in Berlin, Germany.",198
Mobotix AG,"Mobotix AG manufactures and distributes intelligent IP video security systems worldwide. The company's outdoor camera products include IoT cameras, video technologies, allrounddual, dualdome, dualflex, vandalism, hemispheric, domes, and flexs; IP video door stations; and indoor 360 degrees, 180 degrees, domes, and PT cameras. It provides thermographic cameras; and system components, including environmental sensors, infrared illuminators, alarm systems, room thermostats, control relays, and electric drives for blinds and barriers. The company also offers MOBOTIX MOVE camera, a centralized video system; and video analysis solution comprising camera-integrated video analysis, accurate people counting, detect overcrowding, detect temperature abnormalities, and protect areas and detect masks, as well as access control products. In addition, it provides MOBOTIX HUB, a video management platform; MOBOTIX CLOUD, an agile and dynamic platform; MxManagmentCenter, a MOBOTIX video management system for Windows and macOS; MOBOTIX LIVE, an application to access MOBOTIX cameras and door stations; and MOBOTIX MOVE network video recorder, a plug and play solution for local video surveillance system. The company offers solutions for industry, production, energy, utilities, mining, government, retail, education and science, healthcare, hotel and food catering, logistics and shipping, culture and tourism, and transport and mobility through distributors, dealers, and partners. Mobotix AG was founded in 1999 and is headquartered in Winnweiler, Germany.",208
KROMI Logistik AG,"KROMI Logistik AG trades in and distributes machining tools in Germany, rest of Europe, and Brazil. The company offers purchasing management, which includes professional tool procurement and management, interim storage, customer specific article catalogue, invoicing, vendor managed inventory, and eProcurement services; and logistics management services. It also provides technology management comprising technology consulting, configuration of machines, tool life controller, and CAD/CAM services, as well as analyzes cutting processes on machines. In addition, the company offers data management services; and customized solutions. It primarily serves customers in the general mechanical engineering, automotive supply, and aviation sectors. The company was founded in 1964 and is headquartered in Hamburg, Germany.",107
R. STAHL AG,"R. STAHL AG, through its subsidiaries, develops, manufactures, assembles, and distributes devices and systems for measuring, controlling, and distribution of energy, securing, and lighting explosive environments worldwide. The company offers luminaires, including linear luminaires, tubular light fittings, emergency luminaires, floodlights, pendant light fittings, wall- and ceiling-mounted bulkhead light fittings, helideck systems, and hand lamps; junction and terminal boxes; and control boxes, such as temperature controllers and limiters, and thermostat solutions. It also provides control systems and distribution boards comprising lighting and heating circuit distribution boards, load disconnect switches, motor protection circuit breakers, safety switches, uninterrupted power supply products, machine controls, and battery boxes, as well as direct-on-line motor, star delta, and soft starters. In addition, the company offers operating and monitoring systems; automation interfaces and solutions for safety barriers, isolators, remote I/O, fieldbus technology, Ex p products, grounding systems and monitoring devices, and network technology products; cable glands, components, and enclosures; cameras and CCTV equipment; visual and audible signalling devices, and control devices; and plugs and sockets, and connectors. Further, it provides automation and container system, power distribution, lighting, and machine control solutions. The company serves oil and gas, chemical, marine and shipbuilding, pharmaceutical, machine, food and beverage, and other industries. R. STAHL AG was founded in 1876 and is headquartered in Waldenburg, Germany.",214
OHB SE,"OHB SE operates as a space and technology company in Germany, rest of Europe, and internationally. The company operates through three segments, Space Systems, Aerospace, and Digital segments. It produces and distributes products and projects, as well as provides technology services primarily in the areas of space and aeronautic technology, telematics, and satellite services. The Space Systems segment focuses on developing and executing space projects. This segment primarily develops and manufactures low-orbiting and geostationary small satellites for navigation, research, communications, and earth and weather observation and reconnaissance, including scientific payloads; undertakes projects for the assembly and outfitting of the International Space Station; and prepares studies and models for exploring solar system, such as the moon, asteroids, and Mars. The Aerospace segment is involved in assembling and developing aviation and space products; and other industrial activities. The Digital segment provides mechatronic systems for antennas and telescopes; various radio telescope projects; and operation of space-borne systems, digital applications based on satellite data as well as information technology and cybersecurity. The company is headquartered in Bremen, Germany.",174
